Item Code,Item Name,Retail Price,Cost,Category
4806511019892,24 SEVEN ORANGE,15,14,Others
4806507831897,JUICY COLOGNE SWEET DELIGHTS 50ML,30,27,Others
4987176123077,WHISPER SUPER CLEAN & DRY 23CM,36,34,Others
4800119239829,HYGIENIX 1000ML,193,188,Alcohol
4806507835192,JUICY COLOGNE UP UP AND AWAY,30,27,Others
4800488960379,HY-PANTS ADULT UNDERWEAR L 10 PCS,262,257,Others
4800088109284,VERGINIA PREMIUM GOLD LABEL SPAGHETTI PASTA ITALIAN,200,190,Others
4987176030900,PAMPERS AIRCON PANTS,325,314,Others
8885010000000,AICE CHOCOLATE CRISPY,22,20,SNACKS
4806508630031,NOVELLINO BIANCO CLASSICO 750ML,288,273,BEVERAGES
4800888160027,REXONA ICE COOL DEO-LOTION 3ML,8,7,Others
4800024585639,DEL MONTE MR. MILK MANGO YOGHURT 100ML,10,9,Yogurt
8851717200014,DUTCH MILL BLUEBERRY 90ML,15,10,Ready To Drink Milk
4800361397605,BEAR BRAND 99G,40,38,Others
477493425,CREAMSILK HAIR FALL DEFENSE,7,5,Others
4806515161832,EMPRESS SHAMPOO LONG & HEALTHY 21ML,6,5,Others
4902430335065,WHISPER BREATHABLE COTTONY SOFT,79,76.32,Others
4800212000746,CHAMPOLA WAFER STICK CHOCOLATE 60G,39,30,SNACKS
4800016635076,JACK `N JILL CHIPPY MILD & TASTY 110G,24,20.4,SNACKS
4809012676526,GENREV KAONG RED 12OZ,55,50,Others
4800067056882,BABYFLO PURPLE RAIN 50ML,41,38,Others
48039116,JOHNSON`S SUMMER SWINGS 25ML,24,22,Others
4800024583864,DEL MONTE MR. MILK STRAWBERRY 100ML,60,52,Yogurt
4800024583055,DEL MONTE MR. MILK MANGO 100ML,60,52,Yogurt
4800024583062,DEL MONTE MR. MILK GREEN APPLE YOGHURT 100ML,10,9,Yogurt
4806504712083,MEGA TUNA FLAKES SPANISH STYLE 155G,40,38,Tuna
4806511010424,YAAHOO CHEESE BISCUIT 10G,20,19,SNACKS
4800365101031,SUPER CRUNCH CORNCHIPS,12,11,SNACKS
4800092660979,CHOCO MUCHO DARK CHOCOLATE,72,67,SNACKS
4800092110863,KRIM STIX PANDAN,19,18,Others
4800174045007,PRAWN CRACKERS 500G,78,75,SNACKS
4806507831903,JUICY COLOGNE ICYLICIOUS 50ML,30,27,Others
4806507835185,JUICY COLOGNE UP UP AND AWAY 25ML,18,15,Others
4806506319594,TWINS LAMPEIN M 38PCS.,244,240,Others
8090001557698,DOVE PINK,77,75,Others
4800024576064,DEL MONTE SWEETENED,108,98,BEVERAGES
4806506319747,TWINS LAMPEIN BABY COMFORT XL 4 PCS,38,35,Others
880031514,SALT 1 KL,10,9,Others
4800888209566,CREAM SILK TRIPLE KERATIN ULTIMATE COLOR REVIVE,7,5,Others
4800888169716,SUNSILK SMOOTH & MANAGEABLE 15ML,6,5,Others
4800016663802,VOVA SMALL,17,13,SNACKS
510758307,CLEAR BLUE 1/2 DZ,37,35,Others
891439213,LOTTERY BALLON,122,100,Others
366200161,MENIRAL NATURE SPRING 350,230,225,Others
822864399,LUCKY ME,10,9,Others
8850390000000,MOGU-MOGU ORANGE,47,40,BEVERAGES
4800090000000,SELECTA COOKIES & CREAM 1.3L,285,260,SNACKS
303147189,DOVE BLUE 1/2 DZ,38,36,Others
9555190000000,SKITTLES 30G,42,40,SNACKS
4800010000000,MEGASCENT PANYAWAN 50ML,82,80,Others
4800490000000,EQ DRY NEW BORN 44PCS,345,340,Others
4800150000000,ORCHID DEODORIZER LEMON 100G,60,53,Others
8000500000000,TICTAC ORANGE FLAVOURED CANDIES 152G,192,190,SNACKS
4800240000000,QUEEN MAMI CHOCO PEANUT BARS 48 PIECES,64,60,SNACKS
913722199,HOTDOG,15,13,SNACKS
4800888199133,SURF PURPLE LOOMS,6,5,Others
4902430831161,TIDEJUMBO PERFECT CLEAN WITH DOWNY,15,13,Others
4800220587253,TANDUAY LIGHT 375ML,55,50,Hard Liquor
4800147200556,ORCHID DEODORIZER STRAWBERRY 100ML,60,53,Others
4800092113376,FROOTEES MANGO,6,5,SNACKS
4800147201010,ORCHID DEODORIZER APPLE 100G,60,53,Others
4987176125187,PAMPERS PANTS L 30 PANTS,309,300,Others
4800641007897,ALL PURPOSE ZIPPER BAG 20 LARGE,100,90,Others
135028500,DOVE PINK 1 DOZ,78,70,Others
4800092773112,FUNKY HICKORY SWEET BBQ,7,6,SNACKS
4806509570046,MIKEY PRODUCT PAPER PLATE,45,40,Others
4806509570060,MIKEY PAPER PLATE ORDINARY WHITE,45,40,Others
502965779,MICROWAVABLE IP-100,56,50,Others
610429313,POP-I TRANSPARENT CUP 7OZ,34,30,Others
4800016476013,X.O BUTTER CARAMEL CANDY,34,30,SNACKS
844930423,POP-I HOTDOG TRAY SILVER,30,25,Others
4806534229834,PANDA SOFT FRUIT GUMMY,175,170,SNACKS
699980560,JOHN`S BREAD STICK,110,100,SNACKS
445230686,CELLPHANE 5X10,18,15,Others
928661641,TURMERIC POWDER 50G,23,20,Condiments
6926341892712,HBW BALL POINT PEN,350,350,Others
488829452,POP-I PAPER CUP 8OZ,52,50,Others
4806534220145,WATERMELON SOFT GUMMY,175,170,SNACKS
4800011000022,MAMA`S LOVE COTTON BUDS 100 TIPS,32,30,Others
48031776,CHEERS BABY OIL,17,15,Others
24902430349080,ORAL B TOOTHBRUSH 1 PAD,120,100,Others
4806534220114,EARTH SOFT GUMMY,175,170,SNACKS
4806534220060,BOMB DUCK! SOFT GUMMY,175,170,SNACKS
4800024579300,DEL MONTE PINEAPPLE JUICE FIBER ENRICHED,110,100,BEVERAGES
8850389114681,MOGU MOGU SWEET TANGERINE ORANGE 180ML,30,25,BEVERAGES
625593104,JOHN`S COATED MANI,110,100,SNACKS
4800011187150,WINNER KALAMANSI SCENT 350ML,46,45,Others
4806509570589,POP-I TRANSPARENT CUP 12OZ,46,40,Others
4806534229841,EMOJI SOFT FRUIT GUMMY,175,170,SNACKS
4806534220121,SOCCER SOFT GUMMY,175,170,SNACKS
4806534220091,BASKET BALL SOFT GUMMY,175,170,SNACKS
4806508361690,SUNRISE GUMMY SOURSNAKE,50,45,SNACKS
4800365881773,SUPER DELIGHTS WAFER STICKS 244G,60,55,SNACKS
8850389114667,MOGU MOGU FOUR SEASON 180ML,30,25,BEVERAGES
4806526075920,PONY EGG 15GX60PCS,470,460,SNACKS
8850389115237,MOGU MOGU GRAPEFRUIT 320ML,47,45,BEVERAGES
4809015077078,SPECIAL ODONG,59,50,Others
656825478,BUG-OFF 1 PACK,66,60,Others
4800011000015,MAMA`S LOVE COTTON BUDS 50 TIPS,15,13,Others
4800011000039,MAMA`S LOVE COTTON BUDS 200 TIPS,75,71,Others
4800011186498,WINNER LEMON SCENT 350ML,46,40,Others
6922577100416,LOVE LOLLIPOP,125,120,SNACKS
304834593,SELECTA HERSHEY`S COOKIES & CREAM 1.3L,345,340,SNACKS
4806508630048,NOVELLINO BIANCO VIVACE 750ML,349,334,BEVERAGES
8006423302501,SORINI SORINETTE DOUBLE CHOCOLATE 200G,206,196,SNACKS
8006423362703,SORINI DARK KING CHOCOLATE 250G,229,219,SNACKS
4806026374288,LAY`S POTATO CHIPS CLASSIC 180G 2`S,270,259.4,SNACKS
4800088614009,VIRGINIA SUNFLOWER COOKING OIL 1000ML,215,209,Cooking Oil
4800024582478,DEL MONTE RESEALABLE  HOT & SPICY 320G,34,29,Sauces & Gravy
14285003038,PAPA BANANA KETCHUP 1KG,68,63,Sauces & Gravy
4801668605967,DATU PUTI ADOBO SERIES SPICY 180ML,40,38,Sauces & Gravy
4800220517755,TANDUAY SUPERIOR BLENDED RHUM BLACK 70 CL,278,263,Hard Liquor
5010327929231,SCOTTISH LEGACY WHISKY 700ML,372,362,Hard Liquor
8992929751120,KRIS CHARMING BODY LOTION 100ML,28,25,Others
8850007040385,JOHNSON`S SHINY DROPS CONDITIONER 200ML,155,150,Others
4800067056615,BABYFLO WHISPERING HOPE 50ML,38,36,Others
8888111945401,DEL MONTE SARDINES IN TERIYAKI SAUCE 425G,223,218,Sardines
8888111945418,DEL MONTE SRADINES IN MISO SAUCE 425,223,218,Sardines
4800103341835,CHUBBY CHOCO,19,18,Others
4806504610198,MARLBORO BLACK,1357,1352,Others
14604386,AVON FEELIN FRESH SPRING BLOSSOM 60G,239,229,Others
1234601426078,SANTORY CRACKERS ONION & GARLIC FLAVOR 200G,42,40,SNACKS
14730948,AVON FEELIN FRESH COOLING FRESH 60G,125,115,Others
4800174162506,KROPECK SQUID FLAVORED 250G,60,55,SNACKS
1234601427228,SANTORY CRACKERS SQUID FLAVOR 200G,42,40,SNACKS
4806507831910,JUICY COLOGNE SPRIGHTLY SPRINKLE 50ML,30,27,Others
14566530,AVON CHERRY BLOSSOM HAND & BODY LOTION 200ML,139,129,Others
4804888555609,LOBSTER CRACKERS,50,48,SNACKS
4806506319549,TWINS LAMPEIN BABY COMFORT NB-S 15 PCS,81,78,Others
4800317500028,KENDI MINT 50 PCS,52,40,Others
4800131592278,ETHYL ALCOHOL BIOGENIC 500ML,85,80,Others
8850389108666,MOGU MOGU 1000ML STRAWBERRY,154,128,Others
8850389106990,MOGU MOGU 1000ML COCONUT,154,128,Others
82100179022,ARBORMIST WHITE ZINFANDEL 750ML,365,351,BEVERAGES
82100179237,ARBORMIST MERLOT 750ML,365,351,BEVERAGES
4806512270735,MARGARITA QUEEN WITH TEQUILA BERRY 750ML,243,201,BEVERAGES
8851019310190,GLICO POCKY CHOCOLATE 40G,45,41,SNACKS
7622210478351,CADBURY DAIRY MILK CHOCOLATE COKLAT SUSU 405G,451,440.85,SNACKS
4800024582485,DEL MONTE RESEALABLE EXTRA RICH BANANA KETCHUP 320G,30,23,Sauces & Gravy
4808680022031,LADY`S CHOICE CHICKEN SPREAD 220ML,128,125,Others
4800220572754,BORACAY CAPPUCINNO 750ML,110,100,Hard Liquor
